Country,Population,Yearly Change,World Share
Honduras,"9,904,607",1.63 %,0.13 %
United Arab Emirates,"9,890,402",1.23 %,0.13 %
Djibouti,"988,000",1.48 %,0.01 %
Saint Barthelemy,"9,877",0.30 %,0.00 %
Seychelles,"98,347",0.62 %,0.00 %
Antigua and Barbuda,"97,929",0.84 %,0.00 %
Vietnam,"97,338,579",0.91 %,1.25 %
Hungary,"9,660,351",-0.25 %,0.12 %
Tajikistan,"9,537,645",2.32 %,0.12 %
Belarus,"9,449,323",-0.03 %,0.12 %
Austria,"9,006,398",0.57 %,0.12 %
Fiji,"896,445",0.73 %,0.01 %
DR Congo,"89,561,403",3.19 %,1.15 %
Réunion,"895,312",0.72 %,0.01 %
Papua New Guinea,"8,947,024",1.95 %,0.11 %
Serbia,"8,737,371",-0.40 %,0.11 %
Comoros,"869,601",2.20 %,0.01 %
Israel,"8,655,535",1.60 %,0.11 %
Switzerland,"8,654,622",0.74 %,0.11 %
Isle of Man,"85,033",0.53 %,0.00 %
Turkey,"84,339,067",1.09 %,1.08 %
Iran,"83,992,949",1.30 %,1.08 %
Germany,"83,783,942",0.32 %,1.07 %
Togo,"8,278,724",2.43 %,0.11 %
Holy See,801,0.25 %,0.00 %
Sierra Leone,"7,976,983",2.10 %,0.10 %
Guyana,"786,552",0.48 %,0.01 %
Andorra,"77,265",0.16 %,0.00 %
Bhutan,"771,608",1.12 %,0.01 %
Hong Kong,"7,496,981",0.82 %,0.10 %
Laos,"7,275,560",1.48 %,0.09 %
Dominica,"71,986",0.25 %,0.00 %
Paraguay,"7,132,538",1.25 %,0.09 %
Thailand,"69,799,978",0.25 %,0.90 %
Bulgaria,"6,948,445",-0.74 %,0.09 %
Libya,"6,871,292",1.38 %,0.09 %
Solomon Islands,"686,884",2.55 %,0.01 %
Lebanon,"6,825,445",-0.44 %,0.09 %
United Kingdom,"67,886,011",0.53 %,0.87 %
Nicaragua,"6,624,554",1.21 %,0.08 %
Cayman Islands,"65,722",1.19 %,0.00 %
France,"65,273,511",0.22 %,0.84 %
Kyrgyzstan,"6,524,195",1.69 %,0.08 %
Macao,"649,335",1.39 %,0.01 %
El Salvador,"6,486,205",0.51 %,0.08 %
Montenegro,"628,066",0.01 %,0.01 %
Luxembourg,"625,978",1.66 %,0.01 %
Bermuda,"62,278",-0.36 %,0.00 %
Saint Helena,"6,077",0.30 %,0.00 %
Italy,"60,461,826",-0.15 %,0.78 %
Turkmenistan,"6,031,200",1.50 %,0.08 %
Tanzania,"59,734,218",2.98 %,0.77 %
Western Sahara,"597,339",2.55 %,0.01 %
South Africa,"59,308,690",1.28 %,0.76 %
Marshall Islands,"59,190",0.68 %,0.00 %
Suriname,"586,632",0.90 %,0.01 %
Singapore,"5,850,342",0.79 %,0.08 %
Saint Pierre & Miquelon,"5,794",-0.48 %,0.00 %
Denmark,"5,792,202",0.35 %,0.07 %
Northern Mariana Islands,"57,559",0.60 %,0.00 %
Greenland,"56,770",0.17 %,0.00 %
Cabo Verde,"555,987",1.10 %,0.01 %
Finland,"5,540,720",0.15 %,0.07 %
American Samoa,"55,191",-0.22 %,0.00 %
Congo,"5,518,087",2.56 %,0.07 %
Micronesia,"548,914",1.00 %,0.01 %
Slovakia,"5,459,642",0.05 %,0.07 %
Myanmar,"54,409,800",0.67 %,0.70 %
Norway,"5,421,241",0.79 %,0.07 %
Maldives,"540,544",1.81 %,0.01 %
Kenya,"53,771,296",2.28 %,0.69 %
Saint Kitts & Nevis,"53,199",0.71 %,0.00 %
South Korea,"51,269,185",0.09 %,0.66 %
Oman,"5,106,626",2.65 %,0.07 %
State of Palestine,"5,101,414",2.41 %,0.07 %
Costa Rica,"5,094,118",0.92 %,0.07 %
Colombia,"50,882,891",1.08 %,0.65 %
Liberia,"5,057,681",2.44 %,0.06 %
Montserrat,"4,992",0.06 %,0.00 %
Ireland,"4,937,786",1.13 %,0.06 %
Faeroe Islands,"48,863",0.38 %,0.00 %
Central African Republic,"4,829,767",1.78 %,0.06 %
New Zealand,"4,822,233",0.82 %,0.06 %
Spain,"46,754,778",0.04 %,0.60 %
Mauritania,"4,649,658",2.74 %,0.06 %
Uganda,"45,741,007",3.32 %,0.59 %
Argentina,"45,195,774",0.93 %,0.58 %
Malta,"441,543",0.27 %,0.01 %
Algeria,"43,851,044",1.85 %,0.56 %
Sudan,"43,849,260",2.42 %,0.56 %
Brunei,"437,479",0.97 %,0.01 %
Ukraine,"43,733,762",-0.59 %,0.56 %
Panama,"4,314,767",1.61 %,0.06 %
Sint Maarten,"42,876",1.15 %,0.00 %
Kuwait,"4,270,571",1.51 %,0.05 %
Croatia,"4,105,267",-0.61 %,0.05 %
Moldova,"4,033,963",-0.23 %,0.05 %
Iraq,"40,222,493",2.32 %,0.52 %
Guadeloupe,"400,124",0.02 %,0.01 %
Georgia,"3,989,167",-0.19 %,0.05 %
Belize,"397,628",1.86 %,0.01 %
Bahamas,"393,244",0.97 %,0.01 %
Monaco,"39,242",0.71 %,0.00 %
Afghanistan,"38,928,346",2.33 %,0.50 %
Turks and Caicos,"38,717",1.38 %,0.00 %
Saint Martin,"38,666",1.75 %,0.00 %
Liechtenstein,"38,128",0.29 %,0.00 %
Poland,"37,846,611",-0.11 %,0.49 %
Canada,"37,742,154",0.89 %,0.48 %
Martinique,"375,265",-0.08 %,0.00 %
Morocco,"36,910,560",1.20 %,0.47 %
Eritrea,"3,546,421",1.41 %,0.05 %
Saudi Arabia,"34,813,871",1.59 %,0.45 %
Falkland Islands,"3,480",3.05 %,0.00 %
Uruguay,"3,473,730",0.35 %,0.04 %
Iceland,"341,243",0.65 %,0.00 %
San Marino,"33,931",0.21 %,0.00 %
Gibraltar,"33,691",-0.03 %,0.00 %
Uzbekistan,"33,469,203",1.48 %,0.43 %
United States,"331,002,651",0.59 %,4.25 %
Peru,"32,971,854",1.42 %,0.42 %
Angola,"32,866,272",3.27 %,0.42 %
Bosnia and Herzegovina,"3,280,819",-0.61 %,0.04 %
Mongolia,"3,278,290",1.65 %,0.04 %
Malaysia,"32,365,999",1.30 %,0.42 %
Mozambique,"31,255,435",2.93 %,0.40 %
Ghana,"31,072,940",2.15 %,0.40 %
Vanuatu,"307,145",2.42 %,0.00 %
British Virgin Islands,"30,231",0.67 %,0.00 %
French Guiana,"298,682",2.70 %,0.00 %
Yemen,"29,825,964",2.28 %,0.38 %
Armenia,"2,963,243",0.19 %,0.04 %
Jamaica,"2,961,167",0.44 %,0.04 %
Nepal,"29,136,808",1.85 %,0.37 %
Qatar,"2,881,053",1.73 %,0.04 %
Albania,"2,877,797",-0.11 %,0.04 %
Barbados,"287,375",0.12 %,0.00 %
Puerto Rico,"2,860,853",-2.47 %,0.04 %
New Caledonia,"285,498",0.97 %,0.00 %
Venezuela,"28,435,940",-0.28 %,0.36 %
French Polynesia,"280,908",0.58 %,0.00 %
Madagascar,"27,691,018",2.68 %,0.36 %
Indonesia,"273,523,615",1.07 %,3.51 %
Mayotte,"272,815",2.50 %,0.00 %
Lithuania,"2,722,289",-1.35 %,0.03 %
Cameroon,"26,545,863",2.59 %,0.34 %
Côte d'Ivoire,"26,378,274",2.57 %,0.34 %
Caribbean Netherlands,"26,223",0.94 %,0.00 %
North Korea,"25,778,816",0.44 %,0.33 %
Australia,"25,499,884",1.18 %,0.33 %
Namibia,"2,540,905",1.86 %,0.03 %
Niger,"24,206,644",3.84 %,0.31 %
Gambia,"2,416,668",2.94 %,0.03 %
Taiwan,"23,816,775",0.18 %,0.31 %
Botswana,"2,351,627",2.08 %,0.03 %
Gabon,"2,225,734",2.45 %,0.03 %
Pakistan,"220,892,340",2.00 %,2.83 %
Sao Tome & Principe,"219,159",1.91 %,0.00 %
Lesotho,"2,142,249",0.80 %,0.03 %
Sri Lanka,"21,413,249",0.42 %,0.27 %
Brazil,"212,559,417",0.72 %,2.73 %
Burkina Faso,"20,903,273",2.86 %,0.27 %
North Macedonia,"2,083,374",0.00 %,0.03 %
Slovenia,"2,078,938",0.01 %,0.03 %
Nigeria,"206,139,589",2.58 %,2.64 %
Mali,"20,250,833",3.02 %,0.26 %
Samoa,"198,414",0.67 %,0.00 %
Guinea-Bissau,"1,968,001",2.45 %,0.03 %
Romania,"19,237,691",-0.66 %,0.25 %
Malawi,"19,129,952",2.69 %,0.25 %
Chile,"19,116,201",0.87 %,0.25 %
Latvia,"1,886,198",-1.08 %,0.02 %
Kazakhstan,"18,776,707",1.21 %,0.24 %
Zambia,"18,383,955",2.93 %,0.24 %
Saint Lucia,"183,627",0.46 %,0.00 %
Palau,"18,094",0.48 %,0.00 %
Guatemala,"17,915,568",1.90 %,0.23 %
Ecuador,"17,643,054",1.55 %,0.23 %
Cook Islands,"17,564",0.09 %,0.00 %
Syria,"17,500,658",2.52 %,0.22 %
Channel Islands,"173,863",0.93 %,0.00 %
Netherlands,"17,134,872",0.22 %,0.22 %
Bahrain,"1,701,575",3.68 %,0.02 %
Guam,"168,775",0.89 %,0.00 %
Senegal,"16,743,927",2.75 %,0.21 %
Cambodia,"16,718,965",1.41 %,0.21 %
Bangladesh,"164,689,383",1.01 %,2.11 %
Chad,"16,425,864",3.00 %,0.21 %
Curaçao,"164,093",0.41 %,0.00 %
Niue,"1,626",0.68 %,0.00 %
Somalia,"15,893,222",2.92 %,0.20 %
Anguilla,"15,003",0.90 %,0.00 %
Zimbabwe,"14,862,924",1.48 %,0.19 %
Russia,"145,934,462",0.04 %,1.87 %
China,"1,439,323,776",0.39 %,18.47 %
Equatorial Guinea,"1,402,985",3.47 %,0.02 %
Trinidad and Tobago,"1,399,488",0.32 %,0.02 %
Tokelau,"1,357",1.27 %,0.00 %
Estonia,"1,326,535",0.07 %,0.02 %
Timor-Leste,"1,318,445",1.96 %,0.02 %
Guinea,"13,132,795",2.83 %,0.17 %
Rwanda,"12,952,218",2.58 %,0.17 %
Mexico,"128,932,753",1.06 %,1.65 %
Mauritius,"1,271,768",0.17 %,0.02 %
Japan,"126,476,461",-0.30 %,1.62 %
Benin,"12,123,200",2.73 %,0.16 %
Cyprus,"1,207,359",0.73 %,0.02 %
Kiribati,"119,449",1.57 %,0.00 %
Burundi,"11,890,784",3.12 %,0.15 %
Tunisia,"11,818,619",1.06 %,0.15 %
Tuvalu,"11,792",1.25 %,0.00 %
Bolivia,"11,673,021",1.39 %,0.15 %
Eswatini,"1,160,164",1.05 %,0.01 %
Belgium,"11,589,623",0.44 %,0.15 %
Ethiopia,"114,963,588",2.57 %,1.47 %
Haiti,"11,402,528",1.24 %,0.15 %
Cuba,"11,326,616",-0.06 %,0.15 %
Grenada,"112,523",0.46 %,0.00 %
Wallis & Futuna,"11,239",-1.69 %,0.00 %
South Sudan,"11,193,725",1.19 %,0.14 %
St. Vincent & Grenadines,"110,940",0.32 %,0.00 %
Philippines,"109,581,078",1.35 %,1.41 %
Dominican Republic,"10,847,910",1.01 %,0.14 %
Nauru,"10,824",0.63 %,0.00 %
Czech Republic (Czechia),"10,708,981",0.18 %,0.14 %
Aruba,"106,766",0.43 %,0.00 %
Tonga,"105,695",1.15 %,0.00 %
U.S. Virgin Islands,"104,425",-0.15 %,0.00 %
Greece,"10,423,054",-0.48 %,0.13 %
Egypt,"102,334,404",1.94 %,1.31 %
Jordan,"10,203,134",1.00 %,0.13 %
Portugal,"10,196,709",-0.29 %,0.13 %
Azerbaijan,"10,139,177",0.91 %,0.13 %
Sweden,"10,099,265",0.63 %,0.13 %
India,0,-100.00 %,0.00 %
